"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
03/05/15,1698.0,38.75%,27.86%,21.85%,17.73%,16.84%,13.6%,13.31%,13.66%,11.31%,11.84%,10.42%,9.48%,8.78%,9.01%,8.54%,7.71%,8.01%,7.54%,7.48%,6.6%,7.24%,6.18%,6.6%,6.01%,6.65%,6.71%,6.3%,5.24%,6.3%
03/04/15,1633.0,42.93%,29.15%,24.19%,21.68%,18.37%,16.11%,15.13%,13.9%,13.23%,11.7%,11.02%,9.98%,10.47%,9.49%,9.8%,8.88%,8.76%,7.9%,8.33%,7.9%,7.23%,8.57%,7.59%,6.12%,7.1%,7.04%,6.74%,5.82%,5.57%
03/03/15,1593.0,42.18%,30.07%,22.03%,19.71%,17.01%,15.19%,14.81%,12.81%,11.11%,11.42%,10.67%,10.8%,10.3%,10.3%,9.1%,8.47%,7.6%,8.41%,8.79%,7.78%,7.03%,7.16%,6.84%,6.47%,6.72%,6.78%,6.78%,5.71%,5.52%
03/02/15,1257.0,41.77%,26.57%,22.91%,20.6%,17.18%,15.35%,14.08%,13.52%,12.17%,11.85%,10.34%,9.94%,9.15%,8.75%,9.86%,8.99%,8.35%,7.08%,8.04%,8.19%,7.8%,6.76%,6.13%,5.89%,5.33%,6.05%,5.57%,6.52%,5.25%
03/01/15,1322.0,37.97%,26.17%,23.45%,20.65%,17.4%,17.55%,14.52%,13.92%,12.71%,10.67%,10.44%,10.36%,11.35%,11.42%,8.7%,9.46%,9%,8.4%,7.87%,8.55%,8.47%,8.09%,6.13%,7.19%,6.96%,6.35%,7.34%,5.82%,6.28%
02/28/15,1418.0,42.17%,28.84%,24.47%,20.59%,18.62%,15.02%,16.36%,15.16%,12.13%,10.44%,10.65%,10.08%,10.58%,11%,9.66%,7.62%,8.32%,8.46%,7.83%,8.11%,7.4%,8.25%,7.4%,6.56%,6.06%,6.28%,6.42%,6.63%,5.85%
02/27/15,871.0,40.64%,24.23%,21.01%,16.53%,15.04%,12.97%,12.51%,10.22%,9.99%,9.53%,9.64%,8.15%,7.92%,9.41%,7.23%,7.12%,7.12%,5.74%,7%,6.66%,6.31%,6.89%,5.63%,5.86%,6.77%,5.4%,6.08%,5.28%,5.17%
02/26/15,887.0,41.04%,26.16%,21.87%,18.83%,15.67%,14.21%,12.85%,11.95%,12.97%,10.15%,10.26%,9.92%,8.12%,7.67%,8.12%,8.12%,8%,7.22%,7.1%,6.76%,6.43%,7.55%,6.31%,5.52%,5.3%,5.98%,4.74%,5.75%,4.06%
02/25/15,892.0,37.89%,23.09%,21.3%,16.14%,15.36%,13.23%,12.11%,11.43%,10.2%,9.42%,8.74%,7.96%,7.96%,8.3%,7.85%,6.05%,6.95%,5.72%,6.39%,5.04%,4.93%,4.6%,4.37%,5.61%,5.16%,4.71%,4.71%,4.48%,3.59%
02/24/15,1097.0,41.29%,28.62%,21.06%,17.41%,16.04%,13.86%,12.94%,12.49%,11.94%,10.94%,10.48%,10.12%,10.39%,9.3%,9.02%,8.57%,8.02%,7.38%,7.2%,6.93%,7.29%,6.38%,7.11%,5.47%,5.47%,5.47%,5.38%,4.65%,4.56%
02/23/15,1064.0,38.72%,28.48%,20.21%,18.52%,15.88%,14.94%,13.91%,11.84%,10.53%,8.93%,7.89%,8.74%,8.27%,8.93%,7.42%,7.99%,6.3%,7.61%,7.05%,6.11%,6.11%,5.64%,5.17%,5.26%,4.7%,5.08%,4.79%,4.32%,4.14%
02/22/15,1932.0,37.32%,27.17%,21.79%,20.08%,16.56%,15.73%,15.63%,11.49%,11.7%,12.32%,10.77%,9.37%,9.68%,9.78%,8.85%,9.06%,8.54%,7.71%,7.61%,7.3%,7.3%,6.47%,6.63%,6.63%,5.95%,6%,7.25%,6.63%,6.26%
02/21/15,2236.0,40.56%,25.27%,21.91%,18.11%,14.36%,13.86%,16.28%,13.64%,11.49%,10.87%,10.33%,9.66%,9.84%,10.11%,9.84%,7.92%,7.83%,7.16%,7.56%,7.29%,8.01%,7.96%,6.62%,6.17%,6.4%,5.77%,5.37%,6.57%,6.75%
02/20/15,2257.0,39.96%,26.54%,20.12%,17.15%,15.02%,14.8%,13.69%,12.45%,11.56%,10.23%,8.99%,9.08%,8.37%,7.35%,8.37%,7%,7%,7.31%,6.25%,6.34%,6.11%,6.29%,5.58%,5.27%,5.54%,5.45%,4.96%,5.01%,5.32%
02/19/15,1884.0,42.25%,27.65%,21.87%,19.37%,15.61%,15.18%,14.49%,12.58%,10.51%,12.05%,9.98%,10.35%,10.08%,9.77%,8.92%,8.33%,8.39%,7.22%,7.43%,7.54%,6.9%,7.32%,6.1%,6.58%,5.68%,6.16%,5.57%,6.1%,6.1%
02/18/15,1465.0,41.64%,29.15%,23.75%,20.61%,16.66%,13.79%,13.65%,11.54%,11.13%,10.1%,10.38%,10.1%,9.35%,10.03%,7.71%,8.05%,7.71%,7.17%,7.92%,7.03%,6.76%,6.14%,6.96%,5.94%,5.94%,6.08%,5.26%,5.6%,5.32%
02/17/15,1000.0,39.5%,26.7%,21.9%,19.9%,15.8%,13.8%,11%,12.2%,11.6%,9.3%,9.1%,10%,10.1%,8.1%,7.4%,9%,8.6%,7.3%,7.1%,7.6%,7.3%,6.8%,6.7%,5.9%,5.9%,5.2%,5.5%,4.9%,4.8%
02/16/15,1037.0,40.31%,27.29%,22.66%,18.51%,17.16%,15.53%,12.92%,11.57%,11.28%,9.74%,11.67%,8.29%,9.35%,7.62%,7.43%,7.71%,6.56%,6.65%,7.43%,7.33%,6.27%,5.79%,5.79%,5.98%,4.73%,5.5%,5.11%,4.53%,4.82%
02/15/15,1189.0,40.2%,27.92%,23.89%,19.68%,18.5%,14.8%,16.32%,11.02%,12.2%,11.27%,9.92%,10.51%,10.77%,10.09%,8.41%,8.24%,7.23%,7.4%,7.32%,6.14%,7.4%,6.06%,5.8%,5.38%,5.55%,5.8%,4.54%,5.13%,4.88%
02/14/15,1120.0,39.55%,25.8%,21.43%,19.2%,15.71%,16.16%,15%,13.3%,11.43%,10.98%,9.64%,8.93%,9.38%,9.11%,10.09%,7.32%,7.68%,6.96%,7.5%,7.32%,7.14%,6.52%,5.89%,5.54%,6.07%,5.8%,6.25%,5.62%,5.62%
02/13/15,941.0,37.19%,28.69%,22.1%,18.81%,16.47%,14.35%,14.77%,11.26%,12.86%,11.16%,9.67%,8.5%,9.99%,9.78%,8.18%,8.4%,7.76%,7.01%,8.71%,6.91%,6.8%,5.1%,4.36%,5.31%,4.99%,4.68%,4.78%,5.53%,4.78%
