"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
02/22/15,170.0,40%,30.59%,22.94%,20%,23.53%,25.88%,18.82%,15.29%,14.12%,14.71%,12.35%,8.82%,10.59%,10%,8.24%,8.82%,7.06%,10%,7.65%,9.41%,8.82%,7.06%,6.47%,7.65%,7.06%,5.88%,5.29%,3.53%,7.65%
02/21/15,183.0,43.17%,27.87%,26.23%,22.4%,21.86%,18.58%,18.58%,14.75%,14.21%,13.11%,13.11%,7.65%,9.84%,12.57%,10.38%,7.1%,8.2%,7.1%,7.65%,8.2%,7.65%,5.46%,8.2%,6.01%,6.56%,4.92%,4.92%,3.28%,4.92%
02/20/15,164.0,38.41%,26.22%,19.51%,16.46%,15.24%,12.2%,13.41%,10.98%,8.54%,6.1%,7.32%,6.1%,4.88%,6.71%,4.27%,5.49%,6.1%,5.49%,3.05%,3.66%,6.71%,6.1%,3.05%,4.27%,6.71%,4.88%,4.88%,5.49%,6.1%
02/19/15,228.0,40.79%,30.26%,23.68%,24.12%,18.42%,16.67%,15.35%,12.72%,8.33%,8.77%,9.65%,9.21%,10.96%,14.91%,10.53%,8.77%,7.89%,6.58%,8.33%,7.89%,6.58%,6.14%,5.26%,7.46%,6.14%,4.39%,3.95%,4.82%,4.39%
02/18/15,229.0,44.1%,29.26%,20.96%,18.34%,18.78%,15.28%,14.41%,13.1%,11.35%,9.17%,7.42%,7.86%,6.99%,8.3%,7.42%,5.24%,6.55%,6.11%,6.99%,5.24%,3.49%,3.93%,3.93%,6.99%,4.8%,3.49%,3.93%,4.8%,3.93%
02/17/15,284.0,44.72%,29.93%,20.07%,22.89%,20.07%,15.85%,13.03%,9.15%,10.21%,7.39%,7.39%,8.45%,5.28%,6.34%,3.52%,7.75%,5.99%,7.39%,3.52%,4.93%,4.93%,2.82%,4.23%,3.52%,1.41%,2.11%,2.82%,4.58%,3.87%
02/16/15,294.0,45.92%,33.33%,30.61%,27.89%,28.57%,19.73%,19.05%,14.97%,14.63%,12.24%,14.97%,11.22%,12.24%,10.88%,9.86%,6.46%,6.8%,6.8%,7.14%,10.2%,8.5%,6.8%,7.14%,5.44%,5.78%,4.76%,4.42%,5.44%,4.42%
02/15/15,339.0,43.95%,32.74%,30.09%,23.01%,22.42%,20.06%,15.63%,16.81%,13.27%,13.27%,11.21%,8.55%,10.32%,9.73%,7.37%,7.08%,6.19%,5.31%,6.78%,6.78%,4.72%,5.01%,6.49%,5.6%,5.31%,5.31%,3.54%,4.72%,4.72%
02/14/15,292.0,42.81%,32.19%,23.29%,23.29%,19.52%,16.1%,13.7%,14.38%,10.27%,14.04%,12.67%,11.64%,11.3%,9.93%,8.9%,8.56%,7.19%,8.56%,7.19%,8.22%,7.19%,6.16%,5.82%,4.45%,4.45%,4.11%,5.48%,3.77%,2.4%
02/13/15,235.0,42.13%,31.06%,22.13%,19.15%,20.85%,16.17%,13.62%,13.62%,11.06%,10.21%,14.47%,7.66%,8.51%,9.36%,8.94%,9.79%,7.23%,7.23%,7.23%,5.11%,4.26%,5.96%,4.26%,5.11%,3.4%,3.4%,2.98%,2.98%,2.55%
02/12/15,237.0,40.08%,29.11%,23.63%,22.36%,19.41%,18.57%,14.77%,14.77%,13.08%,10.97%,10.97%,10.97%,9.7%,10.13%,7.59%,8.44%,8.44%,8.02%,7.59%,6.75%,8.44%,7.17%,6.75%,6.33%,4.64%,4.64%,5.49%,3.38%,4.22%
02/11/15,227.0,34.8%,25.55%,20.26%,16.3%,13.66%,11.89%,14.54%,8.81%,7.93%,8.81%,10.13%,9.69%,8.81%,6.61%,6.61%,7.49%,7.93%,6.17%,5.29%,4.41%,3.96%,5.29%,4.85%,5.29%,2.64%,2.2%,2.2%,3.52%,1.76%
